"ID","Work Item Type","Title","Assigned To","State","Tags","Description"
"","Epic","DOM-0: DOMAIN","","To Do","dominio; Must","EPIC: E1 — DOMAIN. Agrupa las historias de usuario y tareas del área de dominio del MVP (2 sprints)."
"","Issue","DOMH01: Estado centralizado como fuente única de verdad","","To Do","infraestructura; sprint-1; DOMH01; Must","Como desarrollador, quiero que el sistema mantenga un estado centralizado y autoritativo de cada partida —sin importar cuántos procesos o servicios la atiendan—, para garantizar que ningún cliente pueda alterar el resultado del juego."
"","Task","DOMF001: Inicialización de cada servicio y conexión al almacenamiento de estado compartido","","To Do","infraestructura; sprint-1; DOMF001; Must","Configurar el punto de entrada de cada servicio, la carga de su configuración y la conexión al almacenamiento compartido donde vivirá el estado de las partidas (el mismo para todos los servicios, no uno por proceso). Exponer una verificación de disponibilidad por servicio."
"","Task","DOMF002: Enrutamiento de eventos del Gateway y control de tráfico","","To Do","infraestructura; sprint-1; DOMF002; Must","Implementar la tabla de enrutamiento que mapea cada evento Socket.io entrante al canal del bus de eventos correspondiente: room:create y room:join → Room Service; disparo:realizar, salva:disparo, poder:usar, colocacion:set, contramedida:activar → Game Service; chat:mensaje → Chat Service. Suscribirse a los canales de resultado de cada servicio y reenviar sus publicaciones como broadcasts a los clientes de la sala correcta. Aplicar rate limiting por IP/token para prevenir abuso."
"","Task","DOMF003: Suite de tests unitarios del dominio del Game Service","","To Do","tests; sprint-2; DOMF003; Should","Crear la infraestructura mínima de pruebas del proyecto y escribir la suite de tests unitarios para las funciones puras del dominio del Game Service. Cubrir: processShot, validatePower + applyPower (los 5 poderes), addEnergy, resolveSalvo, activateCountermeasure y evaluateVictory. Cada test debe ejecutarse sin dependencias de Redis ni Socket.io. Objetivo: cobertura ≥ 85 % en la capa domain/ del Game Service."
"","Issue","DOMH02: Identificación segura del usuario","","To Do","autenticacion; sprint-1; DOMH02; Must","Como usuario, quiero identificarme con mi cuenta antes de jugar, para acceder de forma segura sin crear ni recordar una contraseña nueva."
"","Task","DOMF101: Identificación delegada y emisión de credencial de sesión","","To Do","autenticacion; sprint-1; DOMF101; Must","Redirigir al usuario a un proveedor de identidad externo, recibir la confirmación de que se autenticó correctamente y emitir, a cambio, una credencial de sesión propia del sistema con una vigencia definida."
"","Task","DOMF102: Verificación de la credencial en cada conexión","","To Do","autenticacion; sprint-1; DOMF102; Must","Al establecerse cualquier conexión de un usuario, validar su credencial de sesión. Si es válida, asociar la conexión al usuario correspondiente; si no lo es, rechazar la conexión."
"","Issue","DOMH03: Creación y unión a salas mediante código","","To Do","salas; sprint-1; DOMH03; Must","Como usuario, quiero crear una sala de juego o unirme a una existente mediante un código, para jugar en un espacio aislado de otras partidas."
"","Task","DOMF201: Creación y unión a salas con asignación de equipo","","To Do","salas; sprint-1; DOMF201; Must","Registrar una nueva sala con un identificador único de acceso y el modo elegido. Al unirse, validar existencia y cupo disponible. Asignar a cada usuario un equipo según el modo de juego. Notificar a todos los participantes la composición actual de la sala."
"","Task","DOMF202: Aislamiento entre salas concurrentes","","To Do","salas; sprint-1; DOMF202; Must","Garantizar que el estado y los eventos de una sala nunca afecten a otra, incluso cuando existen múltiples salas activas al mismo tiempo. Verificar que el sistema se mantenga estable con al menos 5 salas simultáneas."
"","Task","DOMF203: Publicación de eventos de ciclo de vida de sala","","To Do","salas; sprint-1; DOMF203; Must","Cuando la sala queda completa con todos los jugadores asignados, publicar el evento RoomReady con los datos de modo, equipos y jugadores, para que el Game Service inicie la fase de colocación y el Timer Service arranque el temporizador correspondiente. Al unirse cada jugador a la sala, publicar PlayerRoomJoined para que el Chat Service cargue el historial de chat acumulado para ese jugador."
"","Issue","DOMH04: Estado de partida siempre actualizado","","To Do","sincronizacion-rt; sprint-1; DOMH04; Must","Como usuario, quiero que el estado de mi partida se actualice automáticamente cuando ocurre algo relevante, para ver siempre la información autoritativa sin tener que calcularla yo mismo."
"","Task","DOMF301: Distribución del estado completo tras cada cambio","","To Do","sincronizacion-rt; sprint-1; DOMF301; Must","Cada vez que cambie algo relevante del estado de una partida (disparo, energía, turno, fase), entregar a todos los participantes de esa partida una representación completa y actualizada de dicho estado."
"","Task","DOMF302: Definición de fases válidas de una partida","","To Do","sincronizacion-rt; sprint-1; DOMF302; Must","Definir las fases de una partida y las transiciones permitidas entre ellas. Rechazar cualquier acción del usuario que no corresponda a la fase actual."
"","Issue","DOMH05: Recuperación de partida tras una desconexión","","To Do","resiliencia; sprint-1; DOMH05; Must","Como usuario, quiero poder recuperar mi partida si pierdo la conexión, para no perder mi progreso por una interrupción de red."
"","Task","DOMF401: Recuperación de estado al reconectar","","To Do","resiliencia; sprint-1; DOMF401; Must","Al reconectarse un usuario, validar su credencial de sesión y localizar, entre las partidas activas, aquella donde ese usuario está registrado como desconectado. Si existe, asociar la nueva conexión a ese usuario, marcarlo nuevamente como conectado y entregarle el estado actual completo de esa partida."
"","Task","DOMF402: El usuario desconectado conserva su lugar (no se expulsa)","","To Do","resiliencia; sprint-1; DOMF402; Must","Cuando un usuario pierde la conexión, no se le retira de la lista de jugadores ni de su equipo: se le marca como desconectado, conservando su tablero, su energía y su turno tal como estaban. La partida solo se cierra cuando ya no queda ningún usuario conectado en ella, o cuando se cumple la condición de abandono definitivo de DOMF1301."
"","Task","DOMF403: Publicación de eventos de desconexión y reconexión desde la sala","","To Do","resiliencia; sprint-1; DOMF403; Must","Tras marcar a un usuario como desconectado (DOMF402), publicar el evento PlayerDisconnectedFromRoom para que el Game Service pause el turno si es su turno, el Timer Service inicie el tiempo de espera de DOMF1301, y el Chat Service y el Observability Service registren la novedad. Al reasociar la conexión y marcar al usuario como conectado de nuevo (DOMF401), publicar PlayerReconnected para que el Game Service reanude la partida y el Timer Service cancele el tiempo de espera. Cuando todos los jugadores se hayan ido definitivamente, publicar RoomDestroyed para que Observability registre el cierre de sala."
"","Issue","DOMH06: Colocación de la flota propia","","To Do","colocacion; sprint-1; DOMH06; Must","Como usuario, quiero colocar mi flota de barcos antes de iniciar la partida, para preparar mi estrategia de defensa."
"","Task","DOMF501: Validación y registro de la colocación de flota","","To Do","colocacion; sprint-1; DOMF501; Must","Validar que cada barco colocado no se solape con otro ni exceda los límites del tablero. Rechazar colocaciones inválidas con el motivo correspondiente. Registrar la posición final de la flota de cada usuario y confirmar la colocación. Tras confirmar, publicar el evento ShipsPlaced en Redis Pub/Sub para que el Game Service lo propague al compañero de equipo en tiempo real."
"","Issue","DOMH07: Colocación coordinada en equipo","","To Do","colocacion; sprint-1; DOMH07; Must","Como usuario, quiero ver en tiempo real cómo mi compañero de equipo coloca su flota, para coordinar nuestra estrategia conjunta antes de iniciar."
"","Task","DOMF502: Coordinación de colocación en equipo con límite de tiempo","","To Do","colocacion; sprint-1; DOMF502; Must","Iniciar un límite de tiempo para la fase de colocación. Notificar a los compañeros de equipo cada vez que se coloca un barco. Al expirar el límite o cuando ambos usuarios confirman, avanzar la fase de la sala."
"","Issue","DOMH08: Disparos por turnos con resultado visible","","To Do","turnos; sprint-1; DOMH08; Must","Como usuario, quiero disparar por turnos y conocer el resultado de cada disparo, para competir hasta hundir la flota rival."
"","Task","DOMF601: Validación y resolución de disparos por turno","","To Do","turnos; sprint-1; DOMF601; Must","Mantener el orden rotativo de jugadores. Validar que el disparo corresponda al turno actual y a una coordenada válida no repetida. Resolver si el disparo es agua o impacto y comunicar el resultado."
"","Task","DOMF602: Detección de hundimientos y condición de victoria","","To Do","turnos; sprint-1; DOMF602; Must","Determinar cuándo todas las casillas de un barco han sido impactadas para declararlo hundido. Determinar cuándo toda la flota de un equipo está hundida para declarar ganador y cerrar la partida."
"","Issue","DOMH09: Acumulación de energía de equipo","","To Do","energia; sprint-1; DOMH09; Must","Como usuario, quiero que mi equipo acumule energía cada vez que impacto o hundo un barco rival, para poder usar poderes especiales más adelante."
"","Task","DOMF701: Acumulación de energía por equipo sin condiciones de carrera","","To Do","energia; sprint-1; DOMF701; Must","Llevar el conteo de energía de cada equipo. Incrementarla de forma consistente ante cada impacto y cada hundimiento, incluso si ocurren al mismo tiempo varios eventos de distintos usuarios del mismo equipo. Incluir el valor actualizado en el estado de la partida."
"","Issue","DOMH10: Uso de poderes mediante energía acumulada","","To Do","poderes; sprint-2; DOMH10; Must","Como usuario, quiero usar poderes especiales gastando la energía acumulada por mi equipo, para ganar ventaja estratégica."
"","Task","DOMF801: Poderes ofensivos: bombardeo de área y detección","","To Do","poderes; sprint-2; DOMF801; Must","Poder de bombardeo (impacta una zona de varias casillas contiguas). Poder de detección (revela si hay un barco en una línea completa del tablero rival). Validar energía suficiente antes de aplicar cualquiera de los dos."
"","Task","DOMF802: Poderes defensivos: protección y bloqueo de turno","","To Do","poderes; sprint-2; DOMF802; Should","Poder de protección (una casilla propia queda inmune a disparos por un número limitado de turnos). Poder de bloqueo (anula el siguiente turno del rival, uso único por partida). Validar energía suficiente antes de aplicar."
"","Issue","DOMH11: Ventana de reacción para anular un poder","","To Do","contramedida; sprint-2; DOMH11; Must","Como usuario, quiero tener una breve ventana de tiempo para anular un poder activado en mi contra, para defenderme de forma reactiva."
"","Task","DOMF901: Ventana de reacción, anulación y devolución de energía","","To Do","contramedida; sprint-2; DOMF901; Must","Al activarse un poder ofensivo, abrir una ventana de tiempo breve para que el objetivo pueda reaccionar. Si reacciona a tiempo, anular el efecto del poder y devolver la energía gastada a quien lo activó. Si la ventana se cierra sin reacción, aplicar el poder normalmente."
"","Issue","DOMH12: Ronda de disparo simultáneo","","To Do","salva; sprint-2; DOMH12; Must","Como usuario, quiero vivir rondas donde todos disparamos al mismo tiempo, para enfrentar un ritmo de juego más intenso y competitivo."
"","Task","DOMF1001: Ventana de disparo simultáneo","","To Do","salva; sprint-2; DOMF1001; Must","Tras alcanzar la condición de activación (ej. cierto número de rondas), pausar los turnos individuales y abrir una ventana de tiempo compartida durante la cual todos los jugadores pueden disparar. Notificar el avance del tiempo restante. Al expirar, cerrar la ventana y reanudar los turnos."
"","Task","DOMF1002: Resolución exclusiva por casilla y control de cadencia","","To Do","salva; sprint-2; DOMF1002; Must","Garantizar que, cuando varios disparos llegan casi al mismo tiempo a la misma casilla, solo el primero en llegar obtenga el resultado y los demás se rechacen como repetidos. Validar que cada usuario respete una cadencia mínima entre disparos consecutivos."
"","Issue","DOMH13: Oponente automático para jugar en solitario","","To Do","bot; sprint-2; DOMH13; Could","Como usuario, quiero enfrentarme a un oponente automático cuando juego en solitario, para poder jugar sin necesidad de otro jugador humano."
"","Task","DOMF1101: Oponente automático con disparo y remate básico","","To Do","bot; sprint-2; DOMF1101; Could","El oponente automático dispara a una coordenada no resuelta. Si impacta, prioriza las casillas adyacentes en su siguiente disparo para intentar hundir el barco."
"","Task","DOMF1102: Integración del oponente automático con el bus de eventos","","To Do","bot; sprint-2; DOMF1102; Could","Suscribir el servicio del oponente automático al bus de eventos para recibir los eventos ShotFired y PhaseChanged publicados por el Game Service. Al detectar que es el turno del oponente en una partida de modo 1v1-bot, invocar la lógica de decisión de DOMF1101 y publicar el evento BotDecision con la coordenada elegida, para que el Game Service lo procese como un disparo ordinario del bot."
"","Issue","DOMH14: Visibilidad del comportamiento del sistema","","To Do","observabilidad; sprint-2; DOMH14; Must","Como operador, quiero poder observar el comportamiento del sistema mientras opera, para detectar problemas y medir su desempeño."
"","Task","DOMF1201: Registro estructurado de eventos clave","","To Do","observabilidad; sprint-2; DOMF1201; Must","En cada evento clave (disparo, hundimiento, energía, turno, fase, ronda simultánea), registrar de forma estructurada: marca de tiempo, tipo de evento, identificador de sala, identificador de jugador y resultado."
"","Task","DOMF1202: Métricas técnicas de concurrencia y rendimiento","","To Do","observabilidad; sprint-2; DOMF1202; Should","Llevar un conteo por partida de disparos totales, impactos, hundimientos y disparos en ronda simultánea. Medir el tiempo transcurrido entre un disparo y la actualización de estado correspondiente. Verificar que el conteo visto por cada cliente coincida con el del sistema al cierre de cada ronda simultánea."
"","Task","DOMF1203: Cálculo de los indicadores de negocio","","To Do","observabilidad; sprint-2; DOMF1203; Could","Calcular y almacenar periódicamente: porcentaje de partidas completadas, latencia P95 entre disparo y actualización de estado, porcentaje de reconexiones exitosas y número de salas concurrentes sostenidas."
"","Issue","DOMH15: Continuidad ante inactividad o desconexión de un jugador","","To Do","resiliencia; sprint-2; DOMH15; Should","Como usuario, quiero que la partida continúe de forma estable aunque un participante se quede inactivo o se desconecte, para tener una experiencia confiable."
"","Task","DOMF1301: Límite de tiempo de turno y abandono definitivo por desconexión prolongada","","To Do","resiliencia; sprint-2; DOMF1301; Should","Cuando el Game Service recibe el evento PlayerDisconnectedFromRoom (DOMF403) durante el turno de un jugador, pausar ese turno inmediatamente —sin pasarlo al siguiente— y esperar a que el jugador reconecte o a que el tiempo de espera venza. Establecer además un límite de tiempo para que un usuario actúe en su turno en condiciones normales; si lo supera, pasar el turno automáticamente."
"","Task","DOMF1302: Verificación de disponibilidad previa a la operación","","To Do","resiliencia; sprint-2; DOMF1302; Should","Exponer una forma de verificar que el servicio está disponible y responde correctamente antes de iniciar la operación normal."
"","Task","DOMF1303: Timer Service: elección de líder, heartbeat y gestión de temporizadores","","To Do","resiliencia; sprint-2; DOMF1303; Should","Implementar la elección de líder del Timer Service usando SETNX en Redis con TTL de 1 segundo: solo la instancia que adquiere el lease actúa como master; las demás esperan en standby. El master renueva el lease cada 500ms (heartbeat). Si el master falla y el lease expira, cualquier instancia standby puede tomar el liderazgo en aproximadamente 1.5 segundos (failover automático). Al convertirse en master, suscribirse a los eventos RoomReady y PhaseChanged para arrancar el temporizador de la fase correspondiente (COLOCACION: 60s, TURNO: 30s, SALVA: 8s, CONTRAMEDIDA: 5s). Publicar TimerEnd cuando el temporizador vence y TimerTick cada 100ms con el tiempo restante."
"","Epic","UIUX-1: UI & UX","","To Do","ui-ux; Must","EPIC: E2 — UI & UX. Agrupa las historias de usuario y tareas del área de interfaz y experiencia de usuario del MVP (2 sprints)."
"","Issue","UIUXH01: Identidad visual coherente","","To Do","esqueleto; sprint-1; UIUXH01; Must","Como usuario, quiero una aplicación con identidad visual coherente desde el primer momento, para tener una experiencia clara y reconocible."
"","Task","UIUXF001: Pantallas principales de la aplicación cliente","","To Do","esqueleto; sprint-1; UIUXF001; Must","Definir y estructurar las pantallas principales del cliente (inicio de sesión, lobby, sala de espera, partida) y la navegación entre ellas. Dejar la aplicación disponible públicamente para los jugadores."
"","Task","UIUXF002: Tablero visual parametrizable y lenguaje de colores","","To Do","esqueleto; sprint-1; UIUXF002; Must","Componente de tablero que se adapta al tamaño según el modo de juego, con una capa visual para representar los barcos sobre la cuadrícula. Definir una paleta de colores consistente para los distintos estados de una casilla (agua, impacto, hundido, protegida)."
"","Issue","UIUXH02: Inicio de sesión sin fricción","","To Do","login; sprint-1; UIUXH02; Must","Como usuario, quiero iniciar sesión con un solo paso, para entrar al juego sin fricción."
"","Task","UIUXF101: Pantalla de inicio de sesión con estados de carga y error","","To Do","login; sprint-1; UIUXF101; Must","Pantalla con un único botón para iniciar sesión. Estados visuales: en espera, conectando (indicador de carga) y error (mensaje con opción de reintento). Al completarse con éxito, conservar la credencial de sesión solo en memoria y continuar al lobby."
"","Issue","UIUXH03: Lobby para crear o unirse a salas","","To Do","lobby; sprint-1; UIUXH03; Must","Como usuario, quiero crear o unirme a una sala desde el lobby, para empezar a jugar."
"","Task","UIUXF201: Lobby con selector de modo, creación y unión a salas","","To Do","lobby; sprint-1; UIUXF201; Must","Pantalla de lobby con dos acciones: crear sala (con selector del modo de juego, mostrando el código generado) y unirse a sala (mediante un campo de código). Mostrar la lista de jugadores conectados a la sala, actualizada en tiempo real."
"","Issue","UIUXH04: Tablero siempre fiel al estado real","","To Do","tablero-rt; sprint-1; UIUXH04; Must","Como usuario, quiero que mi tablero refleje exactamente lo que el sistema reporta, para que mi vista siempre coincida con el estado real de la partida."
"","Task","UIUXF301: Render del tablero a partir del estado recibido","","To Do","tablero-rt; sprint-1; UIUXF301; Must","El cliente solo refleja el estado que recibe del sistema; nunca lo calcula por su cuenta. Pintar cada casilla según ese estado. Mostrar ambos tableros (propio y rival). Mostrar un indicador visual de la calidad de la conexión."
"","Issue","UIUXH05: Chat de equipo en tiempo real","","To Do","chat; sprint-1; UIUXH05; Should","Como usuario, quiero comunicarme con mi equipo en tiempo real, para coordinar la estrategia durante la partida."
"","Task","UIUXF401: Chat de equipo y general en tiempo real","","To Do","chat; sprint-1; UIUXF401; Should","Panel de mensajes con campo de entrada. En modos de equipo, separar el canal privado del equipo del canal general. Desplazamiento automático a los mensajes nuevos y visualización del nombre del emisor."
"","Task","DOMF1103: Servicio de mensajería: recepción, persistencia y enrutamiento","","To Do","chat; sprint-1; DOMF1103; Should","Recibir los eventos chat:mensaje que el Gateway reenvía desde el cliente. Validar que el emisor pertenezca a la sala. Persistir el mensaje en el historial de Redis de esa sala usando LPUSH + LTRIM para conservar únicamente los últimos 100 mensajes. En modo 2v2, enrutar el mensaje solo a los miembros del equipo del emisor si se trata de un canal privado, o a todos los participantes si es el canal general. Publicar el evento ChatMessage para que el Observability Service lo registre."
"","Issue","UIUXH06: Colocación de flota cómoda e intuitiva","","To Do","colocacion-ui; sprint-1; UIUXH06; Must","Como usuario, quiero colocar mi flota de forma cómoda e intuitiva, para preparar mi estrategia sin esfuerzo."
"","Task","UIUXF501: Colocación interactiva de barcos con vista previa","","To Do","colocacion-ui; sprint-1; UIUXF501; Must","Permitir mover y rotar cada barco sobre el tablero, mostrando una vista previa que indica si la posición es válida o inválida. Botón de confirmación de la flota. En modos de equipo, mostrar en tiempo real los barcos que coloca el compañero y el tiempo restante de la fase."
"","Issue","UIUXH07: Turno y resultado de disparos visibles","","To Do","partida-ui; sprint-1; UIUXH07; Must","Como usuario, quiero ver claramente de quién es el turno y el resultado de cada disparo, para seguir la partida sin confusión."
"","Task","UIUXF601: Indicador de turno y retroalimentación visual de disparos","","To Do","partida-ui; sprint-1; UIUXF601; Must","Mostrar de forma visible de quién es el turno actual. Permitir disparar haciendo clic en el tablero rival únicamente cuando es el turno propio. Retroalimentación visual diferenciada para agua, impacto y hundimiento."
"","Issue","UIUXH08: Energía de equipo visible","","To Do","energia; sprint-1; UIUXH08; Must","Como usuario, quiero ver el nivel de energía acumulada de mi equipo, para decidir cuándo usar un poder."
"","Task","UIUXF701: Barra de energía sincronizada con el estado de la partida","","To Do","energia; sprint-1; UIUXF701; Must","Barra visual que refleja el nivel de energía del equipo según el estado recibido. Mostrar el valor numérico exacto y una animación al incrementarse. Indicar el costo de cada poder disponible."
"","Issue","UIUXH09: Panel de poderes claro","","To Do","panel-poderes; sprint-2; UIUXH09; Must","Como usuario, quiero un panel que muestre claramente los poderes disponibles, su costo y su objetivo, para decidir cuándo y cómo usarlos."
